194	334	16777.40	2689.25	22658.23	50.23	6.11
195	1178	54328.60	4192.39	64576.86	46.12	67.63
196	821	28989.52	1909.66	34108.80	35.31	5.61
197	1588	60271.27	3853.05	68924.99	37.95	8.63
198	775	21381.33	847.79	24583.71	27.59	4.74
199	5	124.20	31.25	197.33	24.84	6.51
2	13	551.15	108.79	742.05	42.40	10.77
20	394	13001.31	138.05	14443.84	33.00	6.53
200	326	12157.12	212.97	13598.43	37.29	8.33
201	249	10622.17	50.55	11494.26	42.66	10.37
202	545	16155.79	1323.32	19191.23	29.64	156.07
203	553	25041.40	665.52	27483.12	45.28	9.88
204	1	62.33	0.00	77.71	62.33	29.58
205	1133	43094.55	118.87	46416.37	38.04	8.79
206	12	603.44	20.76	721.10	50.29	9.17
207	638	7295.51	922.04	9723.49	11.43	1.24
208	448	15294.77	226.10	17010.56	34.14	7.29
209	16472	361724.44	55287.22	498111.66	21.96	8.34
21	421	15322.96	312.88	16814.87	36.40	7.51
210	730	28218.64	113.66	30364.50	38.66	8.85
211	72259	1178274.37	206210.78	1735009.33	16.31	3.60
212	491	15220.57	40.07	16884.72	31.00	6.48
213	1145	36331.44	197.29	40412.70	31.73	15.35
214	16	632.85	40.73	870.20	39.55	11.40
215	1936	94232.44	8691.68	113230.99	48.67	9.93
216	2300	115776.51	12401.50	136830.73	50.34	21.17
217	534	14194.20	632.97	16272.79	26.58	4.65
218	1134	42918.91	377.91	46479.14	37.85	8.11
219	1375	81860.39	8189.85	97926.52	59.53	12.00
22	558	19232.95	292.46	21186.12	34.47	7.61
220	493	18273.87	376.50	20344.27	37.07	7.22
221	14	446.37	13.54	549.37	31.88	6.77
222	983	35611.57	99.34	38277.92	36.23	7.86
223	2159	74805.57	8787.98	94724.32	34.65	25.65
224	13729	225365.33	29719.26	317708.92	16.42	2.39
225	2183	61112.91	1423.94	67561.89	27.99	20.09
226	7856	221952.89	22877.02	271683.29	28.25	4.08
227	336	11895.02	288.34	13113.38	35.40	7.28
228	909	30843.48	1544.60	35475.76	33.93	7.01
229	173410	2448179.73	468792.94	3755305.48	14.12	2.60
23	18	829.19	99.55	1107.16	46.07	9.60
230	325687	6031936.61	1099161.91	8959491.26	18.52	3.08
231	125048	2290560.22	397577.53	3305200.76	18.32	3.31
232	13783	287460.17	31448.83	380344.42	20.86	7.03
233	112267	1859759.17	330434.43	2783116.25	16.57	3.60
234	254921	3672705.70	717480.57	5659091.63	14.41	2.01
235	905	29362.57	309.83	32158.32	32.44	6.75
236	412395	5481964.93	1096885.45	8534390.96	13.29	2.44
237	434219	5542220.12	1139679.83	8768855.88	12.76	1.85
238	190982	2701857.09	512672.71	4085782.48	14.15	5.27
239	278480	3903357.32	776029.18	6012378.35	14.02	3.32
24	24510	391414.39	64575.02	548038.38	15.97	2.55
240	56	2418.01	0.00	2668.47	43.18	7.49
241	598	21358.71	111.60	23472.73	35.72	7.64
242	678	21168.18	122.63	23504.92	31.22	6.85
243	2139	60854.21	4045.54	71596.96	28.45	12.62
244	7222	181472.17	13341.63	217636.45	25.13	8.63
245	9	367.02	35.20	477.80	40.78	6.28
246	159965	2599528.68	474339.44	3874685.75	16.25	2.33
247	1193	31854.15	675.96	36054.61	26.70	5.07
248	517	15351.66	79.69	17104.69	29.69	73.52
249	226019	3366016.35	638464.24	5099861.74	14.89	2.47
25	4189	107083.58	8860.28	127956.61	25.56	4.56
250	444	13420.89	96.13	15005.70	30.23	6.23
251	9	298.82	24.60	381.56	33.20	5.36
252	243	8739.81	388.57	10124.30	35.97	7.07
253	34	1830.87	43.64	2076.03	53.85	8.52
254	819	30138.44	58.94	32787.91	36.80	7.83
255	4595	110946.19	8386.05	135351.72	24.14	4.04
256	3703	95107.45	7706.86	114981.17	25.68	22.14
257	308	9475.94	575.86	11079.07	30.77	5.57
258	617	19810.32	267.46	21887.73	32.11	6.31
259	441	17237.61	96.09	18802.60	39.09	8.71
26	739	22212.21	303.11	24345.68	30.06	5.77
260	2498	68397.52	6032.20	83674.71	27.38	3.73
261	44675	1045979.36	167274.45	1442852.97	23.41	4.21
262	132413	1950026.93	348457.70	2925159.49	14.73	6.29
263	185747	2514910.08	466872.26	3871089.20	13.54	5.52
264	31304	651475.38	112122.22	917326.30	20.81	3.19
265	4918	432056.94	40650.77	489575.70	87.85	6.03
27	15	703.60	13.40	768.30	46.91	6.05
28	1214	50720.90	4005.98	60210.88	41.78	7.79
29	619	25821.59	115.83	27768.93	41.72	9.79
3	349	12780.49	166.23	14042.60	36.62	7.62
30	17	484.65	0.00	588.23	28.51	5.88
31	50	2075.47	122.26	2398.33	41.51	6.39
32	448	15479.52	79.16	17052.99	34.55	7.75
33	5093	134327.05	14329.42	165115.05	26.37	18.93
34	273	7294.14	442.83	8595.87	26.72	4.76
35	2035	60318.00	193.18	65008.53	29.64	14.99
36	1083	29961.35	1343.34	34665.05	27.67	4.69
37	2136	60911.09	2205.50	68945.30	28.52	16.46
38	478	20661.80	182.60	22491.91	43.23	9.82
39	2368	80895.09	331.60	86830.21	34.16	35.66
4	15558	269589.62	31250.26	371181.93	17.33	8.95
40	1365	33681.33	3598.18	42972.76	24.67	64.33
41	24501	409375.68	39769.72	526273.25	16.71	7.49
42	11782	249049.83	10757.29	292306.72	21.14	17.21
43	146338	2167434.67	422477.57	3279542.14	14.81	2.27
44	4	499.62	193.75	742.13	124.91	19.73
45	13666	284624.60	37726.45	387001.29	20.83	3.38
46	41	1625.65	20.00	1818.50	39.65	10.72
47	608	18712.96	234.18	20868.52	30.78	6.20
48	242806	3788275.42	683155.14	5691780.75	15.60	3.59
49	2111	59337.28	3003.27	67773.19	28.11	33.80
5	1	100.00	0.00	101.00	100.00	0.00
50	54731	883025.00	136792.85	1283386.70	16.13	2.50
51	1366	54506.35	148.76	59706.73	39.90	9.26
52	1909	44954.47	5648.91	56583.21	23.55	15.61
53	183	6246.33	357.64	7428.07	34.13	6.93
54	264	8297.79	641.38	10011.04	31.43	5.70
55	969	40395.75	243.62	43231.77	41.69	10.56
56	877	32441.34	2265.25	38637.12	36.99	6.26
57	33	1067.71	46.85	1239.14	32.35	5.42
58	22	743.02	48.43	876.84	33.77	8.31
59	17	734.43	13.60	845.49	43.20	9.20
6	67	1501.31	159.73	2556.06	22.41	5.54
60	396	11948.42	24.03	13259.87	30.17	6.79
61	4149	117036.00	2645.03	128469.82	28.21	18.56
62	1388	38695.47	592.58	42128.41	27.88	55.47
63	586	18466.36	230.26	20489.93	31.51	6.74
64	155	6507.72	196.24	7408.15	41.99	7.60
65	5630	149349.91	14664.59	183158.32	26.53	10.23
66	2932	76676.18	7068.15	94127.49	26.15	17.62
67	284	9655.12	193.76	10766.10	34.00	7.26
68	249738	4243483.77	787309.18	6287843.52	16.99	2.46
69	1279	37009.38	370.37	40982.81	28.94	5.47
7	5595	121798.47	7734.30	146018.83	21.77	4.73
70	37575	1562687.36	316484.72	2411882.14	41.59	9.39
71	1429	39089.29	164.14	42245.06	27.35	5.77
72	1813	52690.00	155.09	56597.09	29.06	34.07
73	116	3849.73	97.59	4256.81	33.19	7.86
74	22569	387585.49	29107.93	489416.58	17.17	5.59
75	60032	951291.59	118184.00	1294631.30	15.85	2.59
76	3260	103352.79	503.02	111548.64	31.70	36.84
77	764	24144.82	70.65	26052.86	31.60	6.67
78	750	22631.34	159.82	25003.44	30.18	6.45
79	231498	3478323.22	611160.55	5205110.30	15.03	2.80
8	22	1171.61	151.90	1491.54	53.25	7.78
80	2679	74655.84	5108.51	88992.01	27.87	4.78
81	430	16726.10	0.00	18279.74	38.90	8.65
82	1780	57554.86	4626.59	69510.14	32.33	4.75
